placeName,year,population,count2011,growth
Broughton South,2011,21230,21230,1.0
Broughton South,2012,22055,21230,1.038860103626943005181347
Broughton South,2013,22390,21230,1.054639660857277437588318
Broughton South,2014,22425,21230,1.056288271314178049929345
Broughton South,2015,23005,21230,1.083608101742816768723504
Easter Road and Hawkhill Avenue,2011,13736,13736,1.0
Easter Road and Hawkhill Avenue,2012,14228,13736,1.035818287711124053581829
Easter Road and Hawkhill Avenue,2013,14336,13736,1.043680838672102504368084
Easter Road and Hawkhill Avenue,2014,14188,13736,1.032906231799650553290623
Easter Road and Hawkhill Avenue,2015,14080,13736,1.025043680838672102504368
Great Junction Street,2011,35035,35035,1.0
Great Junction Street,2012,35336,35035,1.008591408591408591408591
Great Junction Street,2013,34916,35035,0.996603396603396603396603
Great Junction Street,2014,36491,35035,1.041558441558441558441558
Great Junction Street,2015,36834,35035,1.051348651348651348651349
North Leith and Newhaven,2011,30378,30378,1.0
North Leith and Newhaven,2012,30972,30378,1.019553624333399170452301
North Leith and Newhaven,2013,31074,30378,1.022911317400750543156231
North Leith and Newhaven,2014,31098,30378,1.023701362828362630851274
North Leith and Newhaven,2015,30798,30378,1.013825794983211534663243
Pilrig,2011,13076,13076,1.0
Pilrig,2012,13312,13076,1.018048332823493423065158
Pilrig,2013,13588,13076,1.039155705108595900887121
Pilrig,2014,13648,13076,1.043744264301009483022331
Pilrig,2015,13972,13076,1.068522483940042826552463
The Shore and Constitution Street,2011,34825,34825,1.0
The Shore and Constitution Street,2012,36211,34825,1.039798994974874371859296
The Shore and Constitution Street,2013,36610,34825,1.051256281407035175879397
The Shore and Constitution Street,2014,37184,34825,1.067738693467336683417085
The Shore and Constitution Street,2015,37107,34825,1.065527638190954773869347
Western Harbour and Leith Docks,2011,11508,11508,1.0
Western Harbour and Leith Docks,2012,12044,11508,1.046576294751477233229058
Western Harbour and Leith Docks,2013,12728,11508,1.106013208202989224887035
Western Harbour and Leith Docks,2014,13272,11508,1.153284671532846715328467
Western Harbour and Leith Docks,2015,14124,11508,1.227320125130344108446298
